step,wall_timestamp,duration_sec,throughput_samples_sec,gpu_util_pct,gpu_mem_mb,cpu_util_pct,ram_mb
0,1775608919.2207778,0.4410486966371536,145.10869318507966,90.0,13317.25,1.0,21494.4453125
1,1775608919.6922314,0.2696039155125618,237.385276390832,96.0,13317.25,1.4,21632.171875
2,1775608920.1098106,0.26958000659942627,237.40632996978422,87.0,13317.25,1.4,21656.11328125
3,1775608920.5237858,0.2692238502204418,237.72039493379387,79.0,13317.25,1.4,21655.60546875
4,1775608920.939732,0.27200095914304256,235.29328794147025,71.0,13317.25,1.4,21613.58203125
5,1775608921.3589718,0.2696330863982439,237.35959430985034,62.0,13317.25,1.4,21615.921875
6,1775608921.7706113,0.2694262843579054,237.54178309857295,56.0,13317.25,1.4,21636.35546875
7,1775608922.185872,0.2694506924599409,237.52026545455936,48.0,13317.25,1.4,21658.109375
8,1775608922.5904474,0.2694600448012352,237.51202166988813,46.0,13317.25,1.4,21660.47265625
9,1775608923.0080597,0.27013292722404003,236.92039566476228,37.0,13317.25,1.3,21658.6875
10,1775608923.422457,0.2695490177720785,237.4336234981803,100.0,13317.25,1.4,21658.484375
11,1775608923.8309255,0.269442155957222,237.52779060363875,100.0,13317.25,1.4,21633.84765625
12,1775608924.2472317,0.26959825679659843,237.39025897443227,100.0,13317.25,1.4,21660.546875
13,1775608924.663445,0.2695119269192219,237.46629966095,100.0,13317.25,1.4,21662.6328125
14,1775608925.0799758,0.26962659880518913,237.3653055136498,100.0,13317.25,1.4,21661.13671875
15,1775608925.4978733,0.2709729131311178,236.18596877626587,92.0,13317.25,1.4,21619.99609375
16,1775608925.9060102,0.26975750736892223,237.25011631455044,88.0,13317.25,1.4,21652.078125
17,1775608926.3093429,0.26936603151261806,237.59491737176228,86.0,13317.25,1.4,21659.58203125
18,1775608926.7133322,0.27045239321887493,236.64053861119032,84.0,13317.25,1.3,21658.75390625
19,1775608927.1292243,0.2697023283690214,237.29865584412647,76.0,13317.25,1.4,21617.28125
20,1775608927.5386002,0.2694422733038664,237.52768715628864,71.0,13317.25,1.4,21639.953125
21,1775608927.945857,0.269742988049984,237.2628866561701,67.0,13317.25,1.4,21634.9609375
22,1775608928.3589816,0.2692869231104851,237.66471561540178,61.0,13317.25,1.3,21632.17578125
23,1775608928.780926,0.26958559826016426,237.4014057614333,50.0,13317.25,1.4,21640.65234375
24,1775608929.2035046,0.26946971751749516,237.503496087069,39.0,13317.25,1.4,21659.76171875
25,1775608929.6070235,0.26935742050409317,237.60251297412262,37.0,13317.25,1.3,21658.390625
26,1775608930.0163066,0.2720544505864382,235.24702449102438,99.0,13317.25,1.4,21623.66015625
27,1775608930.4375732,0.26948762498795986,237.48771396408048,100.0,13317.25,1.4,21624.31640625
