step,phase,cuda_sec,sync_start_sec,sync_stop_sec,sync_total_sec,nvml_mem_sec,nvml_util_sec,psutil_sec
0,forward,0.1953558400273323,9.690411388874054e-05,4.59086149930954e-05,0.00014281272888183594,0.00011259131133556366,0.0,0.0
0,backward,0.23074384592473507,1.0410323739051819e-05,0.0009002257138490677,0.0009106360375881195,0.00010599195957183838,0.0,0.0
0,optimizer,0.010857541114091873,9.559094905853271e-06,0.001197243109345436,0.0012068022042512894,4.3490901589393616e-05,0.0011208467185497284,0.0005691405385732651
1,forward,0.012480873614549637,5.0012022256851196e-05,0.07205158099532127,0.07210159301757812,9.597279131412506e-05,0.0,0.0
1,backward,0.0133267343044281,2.9802322387695312e-05,0.16756442561745644,0.16759422793984413,9.96515154838562e-05,0.0,0.0
1,optimizer,0.0012950412929058075,3.1750649213790894e-05,0.0012446213513612747,0.0012763720005750656,2.4260953068733215e-05,0.0008079651743173599,0.0004836674779653549
2,forward,0.011830531060695648,3.678910434246063e-05,0.0721706748008728,0.07220746390521526,9.574182331562042e-05,0.0,0.0
2,backward,0.01363111287355423,4.7462061047554016e-05,0.16744512133300304,0.1674925833940506,9.995326399803162e-05,0.0,0.0
2,optimizer,0.001275181770324707,2.860836684703827e-05,0.0012459717690944672,0.0012745801359415054,2.571195363998413e-05,0.0005088094621896744,0.00047786906361579895
3,forward,0.011788768693804741,3.5587698221206665e-05,0.07233496941626072,0.07237055711448193,9.733997285366058e-05,0.0,0.0
3,backward,0.012988720089197159,2.7358531951904297e-05,0.16764234006404877,0.16766969859600067,0.00011228397488594055,0.0,0.0
3,optimizer,0.0014678332954645157,4.544109106063843e-05,0.0012297015637159348,0.0012751426547765732,2.674013376235962e-05,0.0005277097225189209,0.0005407072603702545
4,forward,0.012521954253315926,3.62396240234375e-05,0.07157431356608868,0.07161055319011211,9.439140558242798e-05,0.0,0.0
4,backward,0.017858752980828285,2.6639550924301147e-05,0.162925586104393,0.1629522256553173,9.62819904088974e-05,0.0,0.0
4,optimizer,0.001335764303803444,2.8459355235099792e-05,0.0012427326291799545,0.0012711919844150543,2.796947956085205e-05,0.0005172304809093475,0.00047368742525577545
5,forward,0.011839671060442924,3.517046570777893e-05,0.07230045832693577,0.07233562879264355,0.00011811219155788422,0.0,0.0
5,backward,0.01771954819560051,7.25816935300827e-05,0.1631297916173935,0.16320237331092358,9.94708389043808e-05,0.0,0.0
5,optimizer,0.00141841359436512,2.6069581508636475e-05,0.001222921535372734,0.0012489911168813705,2.383999526500702e-05,0.000515718013048172,0.0005050580948591232
6,forward,0.012008760124444962,3.6582350730895996e-05,0.0722210593521595,0.0722576417028904,9.401887655258179e-05,0.0,0.0
6,backward,0.017592910677194595,2.9653310775756836e-05,0.16303998790681362,0.16306964121758938,9.689107537269592e-05,0.0,0.0
6,optimizer,0.0013157948851585388,2.7121976017951965e-05,0.001252559944987297,0.001279681921005249,2.277269959449768e-05,0.0009705759584903717,0.00047403573989868164
7,forward,0.013751912862062454,6.226077675819397e-05,0.07093275524675846,0.07099501602351665,0.00011663325130939484,0.0,0.0
7,backward,0.01306913048028946,2.5851652026176453e-05,0.1676870696246624,0.16771292127668858,9.820237755775452e-05,0.0,0.0
7,optimizer,0.0014002639800310135,2.7703121304512024e-05,0.0012030713260173798,0.0012307744473218918,2.454034984111786e-05,0.0005155913531780243,0.0005112197250127792
8,forward,0.011961834505200386,3.6349520087242126e-05,0.0721232034265995,0.07215955294668674,9.67811793088913e-05,0.0,0.0
8,backward,0.01547328382730484,2.687983214855194e-05,0.16521437652409077,0.16524125635623932,9.805150330066681e-05,0.0,0.0
8,optimizer,0.0013256743550300598,3.250874578952789e-05,0.0012468602508306503,0.0012793689966201782,2.4471431970596313e-05,0.0005188565701246262,0.00047845765948295593
9,forward,0.012953419238328934,4.9019232392311096e-05,0.07156003639101982,0.07160905562341213,9.49520617723465e-05,0.0,0.0
