step,wall_timestamp,phase,duration_sec,gpu_mem_mb
0,1775343548.093905,forward,0.21033011749386787,5677.294921875
0,1775343548.2192535,backward,0.12511492893099785,508.64990234375
0,1775343548.231635,optimizer,0.011977624148130417,508.64990234375
1,1775343548.2745953,forward,0.03599792160093784,5685.23291015625
1,1775343548.3563778,backward,0.08158798888325691,507.650390625
1,1775343548.359131,optimizer,0.002280239015817642,507.650390625
2,1775343548.3981469,forward,0.035914501175284386,5685.23291015625
2,1775343548.4801693,backward,0.08184544369578362,507.650390625
2,1775343548.4828682,optimizer,0.0022381767630577087,507.650390625
3,1775343548.5214012,forward,0.035890381783246994,5685.23291015625
3,1775343548.603374,backward,0.08178123086690903,507.650390625
3,1775343548.6062872,optimizer,0.0023660808801651,507.650390625
4,1775343548.6463737,forward,0.0359709020704031,5685.23291015625
4,1775343548.7280247,backward,0.0814377460628748,507.650390625
4,1775343548.7308156,optimizer,0.002256268635392189,507.650390625
5,1775343548.7696137,forward,0.03590827062726021,5685.23291015625
5,1775343548.8514528,backward,0.08164733834564686,507.650390625
5,1775343548.8542295,optimizer,0.0022446271032094955,507.650390625
6,1775343548.8931684,forward,0.03592819161713123,5685.23291015625
6,1775343548.9739108,backward,0.08054783195257187,507.650390625
6,1775343548.976705,optimizer,0.002260887995362282,507.650390625
7,1775343549.0185952,forward,0.03592469170689583,5685.23291015625
7,1775343549.1005545,backward,0.08175789192318916,507.650390625
7,1775343549.103352,optimizer,0.0022656600922346115,507.650390625
8,1775343549.141962,forward,0.03594871051609516,5685.23291015625
8,1775343549.2238014,backward,0.08164410851895809,507.650390625
8,1775343549.2265868,optimizer,0.002247970551252365,507.650390625
9,1775343549.2648485,forward,0.0356758963316679,5685.23291015625
9,1775343549.346266,backward,0.08127419278025627,507.650390625
9,1775343549.349019,optimizer,0.0022278577089309692,507.650390625
10,1775343549.3871925,forward,0.03562072850763798,5685.23291015625
10,1775343549.4691124,backward,0.08171314932405949,507.650390625
10,1775343549.4718874,optimizer,0.0022330284118652344,507.650390625
11,1775343549.5102167,forward,0.03562888503074646,5685.23291015625
11,1775343549.5917537,backward,0.08139376528561115,507.650390625
11,1775343549.594488,optimizer,0.0022174380719661713,507.650390625
12,1775343549.6331348,forward,0.0356369074434042,5685.23291015625
12,1775343549.7147603,backward,0.08148491568863392,507.650390625
12,1775343549.717495,optimizer,0.0022122282534837723,507.650390625
13,1775343549.7561827,forward,0.03563016653060913,5685.23291015625
13,1775343549.8378887,backward,0.08155998587608337,507.650390625
13,1775343549.8406403,optimizer,0.002231067046523094,507.650390625
14,1775343549.8791344,forward,0.03557955473661423,5685.23291015625
14,1775343549.9609349,backward,0.08166196011006832,507.650390625
14,1775343549.9636557,optimizer,0.002211395651102066,507.650390625
15,1775343550.0019245,forward,0.035652898252010345,5685.23291015625
15,1775343550.0834627,backward,0.0813926961272955,507.650390625
15,1775343550.086375,optimizer,0.0023361798375844955,507.650390625
16,1775343550.1249444,forward,0.03571173921227455,5685.23291015625
16,1775343550.206328,backward,0.08124631270766258,507.650390625
16,1775343550.2090492,optimizer,0.002205274999141693,507.650390625
17,1775343550.2472918,forward,0.0356359276920557,5685.23291015625
17,1775343550.3286393,backward,0.08120117150247097,507.650390625
17,1775343550.33138,optimizer,0.002226307988166809,507.650390625
18,1775343550.36952,forward,0.03560374677181244,5685.23291015625
18,1775343550.4510198,backward,0.08135274425148964,507.650390625
18,1775343550.4537563,optimizer,0.002219218760728836,507.650390625
19,1775343550.4923487,forward,0.035606132820248604,5685.23291015625
19,1775343550.5739708,backward,0.08147580735385418,507.650390625
19,1775343550.5766976,optimizer,0.0022081993520259857,507.650390625
20,1775343550.6154296,forward,0.035632459446787834,5685.23291015625
20,1775343550.6973345,backward,0.08176276087760925,507.650390625
20,1775343550.700073,optimizer,0.0022111665457487106,507.650390625
21,1775343550.7386606,forward,0.03560510836541653,5685.23291015625
21,1775343550.8206182,backward,0.08174970000982285,507.650390625
21,1775343550.8234193,optimizer,0.0022636279463768005,507.650390625
22,1775343550.861819,forward,0.035698119550943375,5685.23291015625
22,1775343550.9432483,backward,0.081279331818223,507.650390625
22,1775343550.9459786,optimizer,0.002216281369328499,507.650390625
23,1775343550.9842625,forward,0.03565879911184311,5685.23291015625
23,1775343551.0656826,backward,0.08127937838435173,507.650390625
23,1775343551.0684073,optimizer,0.002208847552537918,507.650390625
24,1775343551.1066878,forward,0.0356160756200552,5685.23291015625
24,1775343551.1880689,backward,0.08123172260820866,507.650390625
24,1775343551.1908004,optimizer,0.0022111069411039352,507.650390625
25,1775343551.2290585,forward,0.03564704582095146,5685.23291015625
25,1775343551.3105645,backward,0.08135913498699665,507.650390625
25,1775343551.3132732,optimizer,0.0021956153213977814,507.650390625
26,1775343551.3518372,forward,0.03561433404684067,5685.23291015625
26,1775343551.4334352,backward,0.08145717717707157,507.650390625
26,1775343551.4361656,optimizer,0.0022000670433044434,507.650390625
27,1775343551.477026,forward,0.03566357679665089,5685.23291015625
27,1775343551.5587635,backward,0.0815899483859539,507.650390625
27,1775343551.5614846,optimizer,0.0021989457309246063,507.650390625
