step,wall_timestamp,duration_sec,throughput_samples_sec,gpu_util_pct,gpu_mem_mb,cpu_util_pct,ram_mb
0,1775529019.0359304,0.45171593874692917,141.68196096320517,83.0,13317.25,0.7,20667.68359375
1,1775529019.5064602,0.26980946585536003,237.2044279362283,85.0,13317.25,1.0,20750.61328125
2,1775529019.9403865,0.2696846313774586,237.31422763362332,68.0,13317.25,1.1,20827.515625
3,1775529020.3492565,0.2702939324080944,236.77926999623398,63.0,13317.25,1.5,20931.16796875
4,1775529020.7636228,0.2696843519806862,237.31447349449272,56.0,13317.25,1.0,20931.0625
5,1775529021.1727052,0.2703132964670658,236.7623081678395,52.0,13317.25,1.1,20930.9375
6,1775529021.5887985,0.26978455670177937,237.22632897310643,43.0,13317.25,1.1,20931.55078125
7,1775529022.0058942,0.27017333917319775,236.8849576196416,36.0,13317.25,1.0,20931.42578125
8,1775529022.4199545,0.26966493390500546,237.3315620730473,100.0,13317.25,1.0,20931.546875
9,1775529022.8379376,0.27201553247869015,235.28068201404562,99.0,13317.25,1.0,20904.84375
10,1775529023.2684987,0.26965437456965446,237.3408556866121,100.0,13317.25,1.1,20912.37890625
11,1775529023.6869144,0.269993107765913,237.04308798685597,94.0,13317.25,1.1,20915.10546875
12,1775529024.0955522,0.2698412165045738,237.17651746843202,90.0,13317.25,1.0,20927.77734375
13,1775529024.503642,0.26992915757000446,237.09924698817315,86.0,13317.25,1.1,20931.70703125
14,1775529024.910139,0.2697368636727333,237.26827371156062,82.0,13317.25,1.1,20931.828125
15,1775529025.3139253,0.270282544195652,236.78924656588887,81.0,13317.25,1.1,20931.703125
16,1775529025.7300045,0.2699073366820812,237.11841547821427,72.0,13317.25,1.1,20905.4921875
17,1775529026.142572,0.2698661871254444,237.15457161089353,66.0,13317.25,1.0,20912.78125
18,1775529026.5516055,0.27043321542441845,236.65731999509848,61.0,13317.25,1.1,20915.26171875
19,1775529026.9585621,0.269632363691926,237.36023051418454,58.0,13317.25,1.1,20914.54296875
20,1775529027.3671596,0.2699085883796215,237.11731584467097,53.0,13317.25,1.1,20911.44140625
21,1775529027.7932186,0.26977974362671375,237.23056127058564,41.0,13317.25,1.1,20921.8984375
22,1775529028.2104058,0.26986589655280113,237.1548269622796,99.0,13317.25,1.1,20933.33984375
23,1775529028.6291416,0.27011519856750965,236.9359456239725,99.0,13317.25,1.1,20906.63671875
24,1775529029.0468688,0.2698963489383459,237.12806880029308,100.0,13317.25,1.1,20931.0078125
25,1775529029.4536173,0.26999127864837646,237.0446938893552,99.0,13317.25,1.1,20932.11328125
26,1775529029.8693774,0.2699173279106617,237.10963833038156,99.0,13317.25,1.0,20931.49609375
27,1775529030.2815425,0.26968373358249664,237.31501766836192,96.0,13317.25,1.1,20913.8515625
28,1775529030.7054095,0.2698949072510004,237.12933545826576,84.0,13317.25,1.1,20912.88671875
29,1775529031.1167474,0.27050482854247093,236.59466762513486,78.0,13317.25,1.1,20912.1953125
30,1775529031.5344627,0.26974924467504025,237.25738352705713,69.0,13317.25,1.4,21229.93359375
31,1775529031.9544141,0.26966401375830173,237.3323718950606,59.0,13317.25,1.3,21379.80078125
32,1775529032.3739796,0.26991300098598003,237.1134393905106,49.0,13317.25,1.2,21382.37890625
33,1775529032.7879207,0.26966928131878376,237.32773598466994,42.0,13317.25,1.2,21387.07421875
34,1775529033.1947212,0.2694788295775652,237.49546522940727,39.0,13317.25,1.2,21382.078125
35,1775529033.603604,0.2713034003973007,235.89825968372475,35.0,13317.25,1.2,21387.51953125
36,1775529034.0236554,0.2695374321192503,237.44382921806852,100.0,13317.25,1.2,21386.65625
37,1775529034.429514,0.2693993076682091,237.56556968892474,100.0,13317.25,1.2,21383.51171875
38,1775529034.8366466,0.26987781561911106,237.1443530961643,99.0,13317.25,1.2,21380.94921875
39,1775529035.2534454,0.26947386004030704,237.49984503293598,100.0,13317.25,1.2,21384.9921875
40,1775529035.6684313,0.2696320191025734,237.36053386023536,100.0,13317.25,1.2,21388.26953125
41,1775529036.0893013,0.2698798067867756,237.14260345000392,91.0,13317.25,1.4,21393.3515625
42,1775529036.497066,0.2696371003985405,237.3560608143464,87.0,13317.25,1.2,21385.8046875
43,1775529036.913009,0.2695202883332968,237.45893266801386,79.0,13317.25,1.2,21392.9765625
44,1775529037.317191,0.2695394195616245,237.4420784317514,77.0,13317.25,1.2,21389.76953125
45,1775529037.7250655,0.27045391499996185,236.6392070900842,73.0,13317.25,1.2,21389.15625
46,1775529038.1357377,0.26966347359120846,237.33284729922178,67.0,13317.25,1.2,21390.640625
47,1775529038.5417938,0.2697572223842144,237.2503669571634,64.0,13317.25,1.2,21387.24609375
48,1775529038.9662192,0.26954676024615765,237.4356120680264,52.0,13317.25,1.2,21388.36328125
49,1775529039.3731883,0.2699908073991537,237.0451076335446,49.0,13317.25,1.2,21385.48828125
50,1775529039.7862709,0.2697946038097143,237.21749470252226,42.0,13317.25,1.2,21388.85546875
51,1775529040.1973844,0.26963708363473415,237.35607557118541,37.0,13317.25,1.2,21388.21484375
52,1775529040.60561,0.2696062996983528,237.38317714239602,100.0,13317.25,1.3,21411.17578125
53,1775529041.0200615,0.2698297556489706,237.18659139750127,100.0,13317.25,1.2,21410.48046875
