step,wall_timestamp,phase,duration_sec,gpu_mem_mb
0,1775489562.7713444,forward,0.18098818697035313,5782.0
0,1775489562.8971014,backward,0.12555766850709915,6562.0
0,1775489562.9094505,optimizer,0.012213332578539848,6562.0
1,1775489563.0466368,forward,0.03619323670864105,6562.0
1,1775489563.1281488,backward,0.08138344250619411,6562.0
1,1775489563.1308608,optimizer,0.002552459016442299,6562.0
2,1775489563.2376373,forward,0.03590531088411808,6562.0
2,1775489563.3183427,backward,0.08057458885014057,6562.0
2,1775489563.320998,optimizer,0.0024966690689325333,6562.0
3,1775489563.4271111,forward,0.03588822856545448,6562.0
3,1775489563.5085087,backward,0.08127068914473057,6562.0
3,1775489563.5112457,optimizer,0.002580557018518448,6562.0
4,1775489563.614705,forward,0.03591113165020943,6562.0
4,1775489563.6959555,backward,0.0811179056763649,6562.0
4,1775489563.6986156,optimizer,0.002503618597984314,6562.0
5,1775489563.8004909,forward,0.03590135835111141,6562.0
5,1775489563.882119,backward,0.08149432390928268,6562.0
5,1775489563.884989,optimizer,0.0026891306042671204,6562.0
6,1775489563.9937027,forward,0.03604238107800484,6562.0
6,1775489564.0749636,backward,0.08112828806042671,6562.0
6,1775489564.0777352,optimizer,0.0026143398135900497,6562.0
7,1775489564.185709,forward,0.03593401052057743,6562.0
7,1775489564.2672105,backward,0.08137418329715729,6562.0
7,1775489564.2699854,optimizer,0.0026173479855060577,6562.0
8,1775489564.3741775,forward,0.035909563302993774,6562.0
8,1775489564.455379,backward,0.08106749504804611,6562.0
8,1775489564.458353,optimizer,0.00273841992020607,6562.0
9,1775489564.5602622,forward,0.035961002111434937,6562.0
9,1775489564.641818,backward,0.08142463304102421,6562.0
9,1775489564.644563,optimizer,0.0025917701423168182,6562.0
10,1775489564.7529984,forward,0.035927679389715195,6562.0
10,1775489564.8342354,backward,0.08110389485955238,6562.0
10,1775489564.8369632,optimizer,0.002568967640399933,6562.0
11,1775489564.944205,forward,0.03591679967939854,6562.0
11,1775489565.0257719,backward,0.08143759332597256,6562.0
11,1775489565.0285306,optimizer,0.002599850296974182,6562.0
12,1775489565.1347585,forward,0.03595966286957264,6562.0
12,1775489565.2160575,backward,0.08115506172180176,6562.0
12,1775489565.2188468,optimizer,0.002622786909341812,6562.0
13,1775489565.3262203,forward,0.035917049273848534,6562.0
13,1775489565.4076602,backward,0.0813085027039051,6562.0
13,1775489565.4104025,optimizer,0.002586977556347847,6562.0
14,1775489565.5175526,forward,0.03590651974081993,6562.0
14,1775489565.598954,backward,0.08127337135374546,6562.0
14,1775489565.6017036,optimizer,0.0025897081941366196,6562.0
15,1775489565.708326,forward,0.03594771958887577,6562.0
15,1775489565.7896583,backward,0.08120034635066986,6562.0
15,1775489565.792404,optimizer,0.002591228112578392,6562.0
16,1775489565.8977783,forward,0.03592716157436371,6562.0
16,1775489565.9793384,backward,0.08140981197357178,6562.0
16,1775489565.982156,optimizer,0.002671310678124428,6562.0
17,1775489566.091004,forward,0.03597080335021019,6562.0
17,1775489566.1720977,backward,0.08096264488995075,6562.0
17,1775489566.1748385,optimizer,0.002580178901553154,6562.0
18,1775489566.2797575,forward,0.03590337932109833,6562.0
18,1775489566.3613088,backward,0.08142228238284588,6562.0
18,1775489566.364082,optimizer,0.0026164576411247253,6562.0
19,1775489566.4699068,forward,0.03602057136595249,6562.0
19,1775489566.551106,backward,0.08106760494410992,6562.0
19,1775489566.5538545,optimizer,0.0025932379066944122,6562.0
20,1775489566.663812,forward,0.035926200449466705,6562.0
20,1775489566.7455194,backward,0.08157445676624775,6562.0
20,1775489566.7486498,optimizer,0.0029587354511022568,6562.0
21,1775489566.850965,forward,0.03596898168325424,6562.0
21,1775489566.9322813,backward,0.08118554949760437,6562.0
21,1775489566.935017,optimizer,0.002581637352705002,6562.0
22,1775489567.0360775,forward,0.03589878976345062,6562.0
