step,wall_timestamp,phase,duration_sec,gpu_mem_mb
0,1775422090.6808648,forward,0.1851937584578991,5677.294921875
0,1775422090.8061721,backward,0.12506127916276455,508.64990234375
0,1775422090.8183618,optimizer,0.011867472901940346,508.64990234375
1,1775422090.9558265,forward,0.03613872267305851,5685.23291015625
1,1775422091.0367637,backward,0.08078297600150108,507.650390625
1,1775422091.0394545,optimizer,0.002236107364296913,507.650390625
2,1775422091.1559217,forward,0.03629517741501331,5685.23291015625
2,1775422091.2369306,backward,0.08085490763187408,507.650390625
2,1775422091.2395763,optimizer,0.0022278670221567154,507.650390625
3,1775422091.3462386,forward,0.03581184707581997,5685.23291015625
3,1775422091.427301,backward,0.08090311661362648,507.650390625
3,1775422091.429993,optimizer,0.0022138189524412155,507.650390625
4,1775422091.5379899,forward,0.03582365997135639,5685.23291015625
4,1775422091.618835,backward,0.08069376274943352,507.650390625
4,1775422091.6215374,optimizer,0.0022141970694065094,507.650390625
5,1775422091.7220175,forward,0.035813530907034874,5685.23291015625
5,1775422091.8030705,backward,0.08089531771838665,507.650390625
5,1775422091.8057456,optimizer,0.0021918974816799164,507.650390625
6,1775422091.9158316,forward,0.0361898448318243,5685.23291015625
6,1775422091.9967432,backward,0.08075565658509731,507.650390625
6,1775422091.9994483,optimizer,0.0022140592336654663,507.650390625
7,1775422092.1118693,forward,0.03586069121956825,5685.23291015625
7,1775422092.1925,backward,0.08047235943377018,507.650390625
7,1775422092.1952088,optimizer,0.0022210367023944855,507.650390625
8,1775422092.3014922,forward,0.0358185600489378,5685.23291015625
8,1775422092.3825598,backward,0.08089889772236347,507.650390625
8,1775422092.3852599,optimizer,0.0022103171795606613,507.650390625
9,1775422092.4878535,forward,0.0358691681176424,5685.23291015625
9,1775422092.568812,backward,0.08070036396384239,507.650390625
9,1775422092.5716915,optimizer,0.0023867301642894745,507.650390625
10,1775422092.6892633,forward,0.03598965145647526,5685.23291015625
10,1775422092.7699635,backward,0.08054707013070583,507.650390625
10,1775422092.7726715,optimizer,0.0022168979048728943,507.650390625
11,1775422092.8807247,forward,0.03582145832479,5685.23291015625
11,1775422092.9618049,backward,0.08092976734042168,507.650390625
11,1775422092.9644978,optimizer,0.002205507829785347,507.650390625
12,1775422093.0662432,forward,0.0358316358178854,5685.23291015625
12,1775422093.1471715,backward,0.08076957613229752,507.650390625
12,1775422093.1500378,optimizer,0.002283211797475815,507.650390625
13,1775422093.2577605,forward,0.03587938845157623,5685.23291015625
13,1775422093.3387272,backward,0.08080975711345673,507.650390625
13,1775422093.3414338,optimizer,0.002217208966612816,507.650390625
14,1775422093.4418707,forward,0.03583204001188278,5685.23291015625
14,1775422093.5229242,backward,0.08088904619216919,507.650390625
14,1775422093.5256326,optimizer,0.0022195782512426376,507.650390625
15,1775422093.6326804,forward,0.03582463972270489,5685.23291015625
15,1775422093.7133424,backward,0.08050591312348843,507.650390625
15,1775422093.7160387,optimizer,0.0022052694112062454,507.650390625
