step,wall_timestamp,duration_sec,throughput_samples_sec,gpu_util_pct,gpu_mem_mb,cpu_util_pct,ram_mb
0,1775422090.8184772,0.323832543566823,98.81650450426946,21.0,490.2744140625,1.5,21960.5703125
1,1775422091.0398388,0.12095380760729313,264.5638085565361,41.0,489.2744140625,1.9,22023.453125
2,1775422091.2399318,0.1211295835673809,264.1798894833921,59.0,489.2744140625,2.0,22059.3828125
3,1775422091.4303439,0.12071387656033039,265.08965590221135,59.0,489.2744140625,1.9,22059.3828125
4,1775422091.6218705,0.12049932032823563,265.5616638569678,59.0,489.2744140625,1.9,22074.88671875
5,1775422091.8061085,0.12069885432720184,265.1226490787674,66.0,489.2744140625,1.9,22074.88671875
6,1775422091.9997873,0.12094701081514359,264.57867610228965,62.0,489.2744140625,1.9,22077.1015625
7,1775422092.1955578,0.12034308165311813,265.9064365015857,60.0,489.2744140625,1.9,22077.1015625
8,1775422092.3856237,0.12074691615998745,265.0171202517552,64.0,489.2744140625,1.9,22077.34765625
9,1775422092.5720491,0.12085607461631298,264.77775404829083,65.0,489.2744140625,2.0,22020.0078125
10,1775422092.7730412,0.12056184373795986,265.42394349535437,58.0,489.2744140625,1.9,22057.421875
11,1775422092.9648356,0.12072591483592987,265.06322228735195,63.0,489.2744140625,1.8,22076.125
12,1775422093.150382,0.12076492793858051,264.9775936294583,66.0,489.2744140625,2.0,22075.6328125
13,1775422093.341784,0.12070484459400177,265.10949173277993,63.0,489.2744140625,1.9,22075.6328125
14,1775422093.5259714,0.12072845548391342,265.0576442126676,66.0,489.2744140625,1.9,22076.04296875
15,1775422093.7163825,0.12032981589436531,265.9357513526991,63.0,489.2744140625,1.9,22076.04296875
16,1775422093.9017258,0.1212029941380024,264.0198802643821,65.0,489.2744140625,1.9,22076.04296875
17,1775422094.0970995,0.12047095969319344,265.6241809768532,65.0,489.2744140625,1.9,22076.2890625
18,1775422094.2911437,0.12047097273170948,265.6241522284745,59.0,489.2744140625,1.9,22053.6796875
19,1775422094.4776182,0.12044112011790276,265.6899900023714,58.0,489.2744140625,1.9,22054.41796875
20,1775422094.6704497,0.12100698053836823,264.4475538322652,58.0,489.2744140625,1.9,22054.41796875
21,1775422094.8565714,0.12050076201558113,265.5584866414562,59.0,489.2744140625,1.9,22054.41796875
22,1775422095.0483804,0.12072763592004776,265.0594435659462,58.0,489.2744140625,1.9,22054.6640625
23,1775422095.2328517,0.1203968096524477,265.7877737157251,59.0,489.2744140625,1.9,22056.6328125
24,1775422095.4221745,0.12067016400396824,265.185684167527,58.0,489.2744140625,1.9,22056.6328125
25,1775422095.6150312,0.1207277849316597,265.05911640898756,61.0,489.2744140625,1.9,22057.125
26,1775422095.8075233,0.1206860039383173,265.1508787742713,62.0,489.2744140625,1.9,22057.125
27,1775422095.9970899,0.12048684991896152,265.58914953393617,64.0,489.2744140625,1.9,22057.37109375
28,1775422096.1868205,0.12069861404597759,265.12317687268785,64.0,489.2744140625,1.9,22057.37109375
29,1775422096.3738053,0.1206472646445036,265.2360175283746,65.0,489.2744140625,1.9,22057.86328125
