step,wall_timestamp,duration_sec,throughput_samples_sec
0,1775662629.3133976,0.45323093235492706,141.20836737127493
1,1775662629.7900302,0.2715751565992832,235.66220416263553
2,1775662630.220536,0.270765932276845,236.3665157644837
3,1775662630.6406329,0.2706749215722084,236.4459907414312
4,1775662631.0496798,0.2713416237384081,235.86502917702146
5,1775662631.457908,0.2741613034158945,233.43921699596646
6,1775662631.8718164,0.27113150618970394,236.04781642462754
7,1775662632.2826056,0.2713649235665798,235.84477742679775
8,1775662632.7056487,0.2707967311143875,236.33963281840983
9,1775662633.115372,0.2706608008593321,236.45832642482316
10,1775662633.5268204,0.27046932838857174,236.625721597733
11,1775662633.9433742,0.27084628492593765,236.2963923152967
12,1775662634.3665907,0.27087791450321674,236.2688007155341
13,1775662634.789026,0.27176252007484436,235.49972962560906
14,1775662635.1986113,0.2709318045526743,236.22180535676898
15,1775662635.6095414,0.2713142726570368,235.88880663458934
16,1775662636.0256505,0.2707327529788017,236.39548335332435
17,1775662636.436564,0.27088348381221294,236.26394307733915
18,1775662636.8471603,0.27106054686009884,236.10960997961834
19,1775662637.256449,0.27110606990754604,236.06996339781548
20,1775662637.6797726,0.2708641327917576,236.28082219805637
21,1775662638.0994565,0.27089196629822254,236.25654490448406
22,1775662638.524295,0.27246241085231304,234.89478713704437
23,1775662638.9560056,0.27055093832314014,236.55434498460247
24,1775662639.3723586,0.2716984674334526,235.55524845084224
25,1775662639.7885356,0.27110089734196663,236.07446757828473
26,1775662640.2130685,0.270671671256423,236.44883006381957
27,1775662640.6349554,0.27074029110372066,236.38890147858186
28,1775662641.0467334,0.2710058279335499,236.15728299279482
29,1775662641.4676373,0.27095841616392136,236.1986053287306
30,1775662641.8935554,0.2715703994035721,235.66633234166162
31,1775662642.3080661,0.2711673714220524,236.0165961869676
32,1775662642.7198298,0.2706961799412966,236.4274221153734
33,1775662643.1411452,0.2709889393299818,236.17200081390604
34,1775662643.5645232,0.2711131274700165,236.06381807195237
35,1775662643.9858704,0.27130476012825966,235.89707740381672
36,1775662644.40585,0.27152094617486,235.70925522181955
37,1775662644.8296852,0.2720038462430239,235.2907904942591
38,1775662645.2532313,0.2706746328622103,236.446242942093
39,1775662645.676797,0.27080170437693596,236.3352924504372
40,1775662646.0969179,0.2709867563098669,236.17390337267082
41,1775662646.5204575,0.27119952253997326,235.9886160587424
42,1775662646.9455798,0.27129192277789116,235.90823989403216
43,1775662647.3699284,0.2709321863949299,236.22147243409862
44,1775662647.7815602,0.2707525808364153,236.37817154794863
45,1775662648.20353,0.2709038443863392,236.24618596674043
46,1775662648.628601,0.2746402621269226,233.0321108214751
47,1775662649.0541854,0.2713065929710865,235.89548377403628
48,1775662649.4663541,0.271326944231987,235.87779009990035
49,1775662649.8803394,0.27061278745532036,236.50027998239642
50,1775662650.301748,0.2708778344094753,236.2688705760019
51,1775662650.715699,0.27112187817692757,236.05619889603727
