step,wall_timestamp,phase,duration_sec,gpu_mem_mb
0,1775341644.703732,forward,0.3999202847480774,21933.97412109375
0,1775341645.2216344,backward,0.5175898503512144,554.212890625
0,1775341645.234381,optimizer,0.012305838987231255,554.212890625
1,1775341645.433217,forward,0.19377941638231277,21945.849609375
1,1775341645.8350484,backward,0.4016077723354101,555.96337890625
1,1775341645.8381445,optimizer,0.0023871585726737976,555.96337890625
2,1775341646.0369794,forward,0.19365008547902107,21945.849609375
2,1775341646.438835,backward,0.40165888518095016,555.96337890625
2,1775341646.441562,optimizer,0.0022124461829662323,555.96337890625
3,1775341646.6401038,forward,0.19357823207974434,21945.849609375
3,1775341647.0421972,backward,0.4018857553601265,555.96337890625
3,1775341647.0448763,optimizer,0.0022230874747037888,555.96337890625
4,1775341647.2432706,forward,0.19367234408855438,21945.849609375
4,1775341647.6451845,backward,0.40160555206239223,555.96337890625
4,1775341647.6480796,optimizer,0.002368379384279251,555.96337890625
5,1775341647.84656,forward,0.1936147939413786,21945.849609375
5,1775341648.2484558,backward,0.4015938602387905,555.96337890625
5,1775341648.2512438,optimizer,0.0022614505141973495,555.96337890625
6,1775341648.4497058,forward,0.19357591308653355,21945.849609375
6,1775341648.8516896,backward,0.4017677363008261,555.96337890625
6,1775341648.8551264,optimizer,0.0027795173227787018,555.96337890625
7,1775341649.053598,forward,0.19360972195863724,21945.849609375
7,1775341649.455616,backward,0.40182039700448513,555.96337890625
7,1775341649.4583406,optimizer,0.002203306183218956,555.96337890625
8,1775341649.6575048,forward,0.1936665140092373,21945.849609375
8,1775341650.0594957,backward,0.40178632363677025,555.96337890625
8,1775341650.0622206,optimizer,0.0022172071039676666,555.96337890625
9,1775341650.260915,forward,0.19356544502079487,21945.849609375
9,1775341650.662653,backward,0.40153276175260544,555.96337890625
9,1775341650.6656063,optimizer,0.0022434182465076447,555.96337890625
10,1775341650.8641624,forward,0.19370100274682045,21945.849609375
10,1775341651.2661448,backward,0.4017788711935282,555.96337890625
10,1775341651.2690914,optimizer,0.002361409366130829,555.96337890625
11,1775341651.4675734,forward,0.19362575374543667,21945.849609375
11,1775341651.8694022,backward,0.4016190003603697,555.96337890625
11,1775341651.8721225,optimizer,0.002206515520811081,555.96337890625
12,1775341652.0704322,forward,0.19361276365816593,21945.849609375
12,1775341652.4725502,backward,0.4018386956304312,555.96337890625
12,1775341652.47534,optimizer,0.002272527664899826,555.96337890625
13,1775341652.6737745,forward,0.19365965388715267,21945.849609375
13,1775341653.0753882,backward,0.40140566043555737,555.96337890625
13,1775341653.0781038,optimizer,0.002211475744843483,555.96337890625
14,1775341653.2769349,forward,0.1937810555100441,21945.849609375
14,1775341653.678868,backward,0.4016415923833847,555.96337890625
14,1775341653.6816754,optimizer,0.002288529649376869,555.96337890625
15,1775341653.8805387,forward,0.19377064518630505,21945.849609375
15,1775341654.2823122,backward,0.4015758316963911,555.96337890625
