step,wall_timestamp,duration_sec,throughput_samples_sec
0,1775661211.5455241,0.790152108296752,161.99412575879367
1,1775661212.526339,0.6034488435834646,212.11408615831738
2,1775661213.4301107,0.6039180401712656,211.94929027737004
3,1775661214.3297544,0.6034590415656567,212.11050159743698
4,1775661215.2374108,0.6031285673379898,212.2267240050487
5,1775661216.1347628,0.6030973959714174,212.23769304098653
6,1775661217.0379305,0.6031532566994429,212.2180367564253
7,1775661217.919821,0.6033734306693077,212.14059733789182
8,1775661218.8172195,0.6036653351038694,212.03801602749928
9,1775661219.6937516,0.6037140768021345,212.0208968424495
10,1775661220.5939026,0.6029013637453318,212.30670172122512
11,1775661221.5155973,0.6028564516454935,212.32251832193995
12,1775661222.4141755,0.602675661444664,212.38621067453312
13,1775661223.3083668,0.6037002261728048,212.02576121507187
14,1775661224.2070615,0.6035886742174625,212.06494665584765
15,1775661225.094016,0.6028771940618753,212.31521321548436
16,1775661225.983026,0.6037120260298252,212.02161706428623
17,1775661226.8866334,0.6037286669015884,212.01577300761966
18,1775661227.7813184,0.6034228820353746,212.12321211328577
19,1775661228.671584,0.6029883772134781,212.27606507361205
20,1775661229.5497298,0.603287760168314,212.17072258235225
21,1775661230.4201198,0.6033078003674746,212.16367486386758
22,1775661231.3065975,0.6030860673636198,212.24167979795945
23,1775661232.1987898,0.6028640512377024,212.31984182372665
24,1775661233.108056,0.6029457934200764,212.29105733360933
25,1775661233.988691,0.6028390917927027,212.3286325366822
26,1775661234.8659482,0.6026413105428219,212.398316810883
27,1775661235.741381,0.6038747783750296,211.9644743972186
28,1775661236.6352086,0.6028273515403271,212.33276770361877
29,1775661237.5357368,0.6029618643224239,212.28539908380358
30,1775661238.4327896,0.6026849672198296,212.38293131892894
31,1775661239.3434823,0.6029962562024593,212.2732913900933
32,1775661240.2336633,0.6029650028795004,212.28429409456152
33,1775661241.1184163,0.6037201248109341,212.01877283796946
34,1775661242.000642,0.6030384637415409,212.25843407371792
35,1775661242.898659,0.6038302481174469,211.98010599678273
