step,loss
1,6.755978584289551
2,7.10387659072876
3,6.758999824523926
4,6.880134582519531
5,7.174365997314453
6,7.214353084564209
7,6.837294101715088
8,7.242437362670898
9,7.4189629554748535
10,7.116974830627441
11,7.1833343505859375
12,6.749050140380859
13,7.062731742858887
14,7.133815288543701
15,6.952249526977539
16,6.959830284118652
17,7.336638927459717
18,7.042270660400391
19,7.33898401260376
20,7.2907538414001465
21,7.072084426879883
22,7.194117546081543
23,7.215412139892578
24,7.179265022277832
25,6.868409156799316
26,7.246003150939941
27,7.0338454246521
28,7.013278007507324
29,7.0680341720581055
30,7.096423625946045
31,6.322295188903809
32,6.816308975219727
33,7.066512107849121
34,7.3304924964904785
35,6.958403587341309
36,7.4830217361450195
37,7.144636631011963
38,7.275672435760498
39,6.7072601318359375
40,6.657632827758789
41,6.76974630355835
42,6.85922384262085
43,7.007210731506348
44,7.206348896026611
45,6.905126571655273
46,6.8723931312561035
47,6.945847511291504
48,7.176928520202637
49,6.719839096069336
50,6.582707405090332
51,7.289276599884033
52,7.112356185913086
53,6.631300926208496
54,6.940661907196045
55,6.906137466430664
56,7.1349358558654785
57,6.960869789123535
58,6.973119735717773
59,6.827090263366699
60,6.629391670227051
61,7.047832489013672
62,6.4689178466796875
63,7.395085334777832
64,7.3375139236450195
65,6.956324577331543
66,6.972489356994629
67,7.039228439331055
68,7.330120086669922
69,6.855952739715576
70,7.317190170288086
71,6.998020172119141
72,7.364137649536133
73,6.783226490020752
74,6.571748733520508
75,7.055909156799316
76,7.15523624420166
77,7.221853733062744
78,6.906176567077637
79,6.803284645080566
80,6.794997215270996
81,6.938205242156982
82,7.3390350341796875
83,7.072660446166992
84,7.148002624511719
85,7.104558944702148
86,7.560522079467773
87,6.7509284019470215
88,7.218471527099609
89,7.0778656005859375
90,7.035456657409668
91,7.087486743927002
92,7.144207000732422
93,7.084723472595215
94,6.925933837890625
95,7.084127426147461
96,7.539098739624023
97,7.240665435791016
98,6.84682559967041
99,7.250696659088135
100,6.800643444061279
101,7.308300018310547
102,6.745181083679199
103,7.122607707977295
104,7.16048526763916
105,7.07465124130249
106,7.172362327575684
107,7.198456764221191
108,7.266170024871826
109,7.511993408203125
110,6.725901126861572
111,6.955003261566162
