step,phase,cuda_sec,sync_start_sec,sync_stop_sec,sync_total_sec,nvml_mem_sec,nvml_util_sec,psutil_sec
0,forward,0.2994118966162205,9.473226964473724e-05,5.258247256278992e-05,0.00014731474220752716,0.00011395104229450226,0.0,0.0
0,backward,0.3810478486120701,9.728595614433289e-06,0.07495419308543205,0.07496392168104649,9.745359420776367e-05,0.0,0.0
0,optimizer,0.010482966899871826,3.1810253858566284e-05,0.0012029409408569336,0.0012347511947154999,4.26415354013443e-05,0.000784311443567276,0.0005793198943138123
1,forward,0.012668676674365997,3.604963421821594e-05,0.1796840075403452,0.1797200571745634,0.00011645257472991943,0.0,0.0
1,backward,0.07135501690208912,3.7999823689460754e-05,0.32707336358726025,0.3271113634109497,9.586289525032043e-05,0.0,0.0
1,optimizer,0.001341942697763443,3.3272430300712585e-05,0.0012366008013486862,0.0012698732316493988,2.8479844331741333e-05,0.0005141086876392365,0.0005487985908985138
2,forward,0.012158315628767014,5.344115197658539e-05,0.18033345974981785,0.18038690090179443,0.0001238808035850525,0.0,0.0
2,backward,0.07294059172272682,3.178045153617859e-05,0.32540762796998024,0.3254394084215164,0.00010843202471733093,0.0,0.0
2,optimizer,0.0013804510235786438,6.0170888900756836e-05,0.0012261904776096344,0.0012863613665103912,2.5250017642974854e-05,0.0005127787590026855,0.0004936195909976959
3,forward,0.01249765232205391,3.6893412470817566e-05,0.17985743284225464,0.17989432625472546,9.662099182605743e-05,0.0,0.0
3,backward,0.07126131653785706,3.384985029697418e-05,0.32707151398062706,0.32710536383092403,0.00011801347136497498,0.0,0.0
3,optimizer,0.0022194962948560715,6.940215826034546e-05,0.0009580664336681366,0.001027468591928482,2.5739893317222595e-05,0.0005093198269605637,0.0004975274205207825
4,forward,0.012968519702553749,3.31588089466095e-05,0.17949139699339867,0.17952455580234528,9.865127503871918e-05,0.0,0.0
4,backward,0.071657320484519,6.0088932514190674e-05,0.327289417386055,0.3273495063185692,9.732134640216827e-05,0.0,0.0
4,optimizer,0.0013330727815628052,3.587082028388977e-05,0.0012463517487049103,0.0012822225689888,2.793222665786743e-05,0.0005121193826198578,0.0004738662391901016
5,forward,0.012218369171023369,3.573112189769745e-05,0.18019427731633186,0.18023000843822956,9.14447009563446e-05,0.0,0.0
5,backward,0.07155557721853256,4.149042069911957e-05,0.327128728851676,0.3271702192723751,9.465962648391724e-05,0.0,0.0
5,optimizer,0.001322111114859581,3.207102417945862e-05,0.001241791993379593,0.0012738630175590515,2.7140602469444275e-05,0.0004956983029842377,0.0005003977566957474
6,forward,0.013220513239502907,3.5410746932029724e-05,0.17899589985609055,0.17903131060302258,0.00012137182056903839,0.0,0.0
6,backward,0.07145412638783455,3.42298299074173e-05,0.3269365429878235,0.3269707728177309,9.526871144771576e-05,0.0,0.0
6,optimizer,0.004410432651638985,3.277137875556946e-05,0.0012333691120147705,0.00126614049077034,2.8932467103004456e-05,0.0005152691155672073,0.000517968088388443
7,forward,0.012693356722593307,5.1330775022506714e-05,0.1796270478516817,0.17967837862670422,0.00011557899415493011,0.0,0.0
7,backward,0.07135224714875221,3.567337989807129e-05,0.3269213419407606,0.3269570153206587,9.570084512233734e-05,0.0,0.0
7,optimizer,0.0013960320502519608,3.0219554901123047e-05,0.0012477412819862366,0.0012779608368873596,2.5492161512374878e-05,0.0007393229752779007,0.0004825182259082794
8,forward,0.012047935277223587,4.5200809836387634e-05,0.18028372898697853,0.18032892979681492,0.00011321157217025757,0.0,0.0
8,backward,0.07135929353535175,3.1460076570510864e-05,0.32697024568915367,0.3270017057657242,9.3851238489151e-05,0.0,0.0
8,optimizer,0.0013615023344755173,3.3659860491752625e-05,0.001247599720954895,0.0012812595814466476,2.939067780971527e-05,0.0006118398159742355,0.0004927292466163635
9,forward,0.013843273743987083,5.341134965419769e-05,0.1790647003799677,0.1791181117296219,0.00011840276420116425,0.0,0.0
9,backward,0.07143962755799294,3.368966281414032e-05,0.32710680551826954,0.3271404951810837,9.278208017349243e-05,0.0,0.0
9,optimizer,0.0031616296619176865,3.548339009284973e-05,0.0011885985732078552,0.001224081963300705,2.853013575077057e-05,0.003910502418875694,0.0004914477467536926
10,forward,0.011916611343622208,3.382191061973572e-05,0.1804427932947874,0.18047661520540714,9.118020534515381e-05,0.0,0.0
10,backward,0.07174251973628998,5.936063826084137e-05,0.3270714171230793,0.32713077776134014,9.704381227493286e-05,0.0,0.0
10,optimizer,0.001331612467765808,4.007294774055481e-05,0.001246599480509758,0.0012866724282503128,2.5250017642974854e-05,0.0007088221609592438,0.0004777759313583374
