step,wall_timestamp,duration_sec,throughput_samples_sec,gpu_util_pct,gpu_mem_mb,cpu_util_pct,ram_mb
0,1775530441.8309348,0.3130780551582575,102.21093261814327,38.0,7523.25,1.0,21026.75
1,1775530442.048277,0.12123160250484943,263.957576562761,44.0,7523.25,1.8,21072.078125
2,1775530442.2445602,0.12019284442067146,266.23881108929356,60.0,7523.25,1.4,21123.51171875
3,1775530442.432627,0.12058656476438046,265.36952986865697,65.0,7523.25,1.4,21142.4609375
4,1775530442.6223202,0.12057434394955635,265.3964264021836,64.0,7523.25,1.5,21142.4609375
5,1775530442.8155048,0.12077557668089867,264.9542306433961,62.0,7523.25,1.4,21142.4609375
6,1775530443.0050037,0.12031284719705582,265.97325843006956,64.0,7523.25,1.3,21142.4609375
7,1775530443.195242,0.12047035247087479,265.6255198368113,63.0,7523.25,1.4,21142.4609375
8,1775530443.3838613,0.1205406729131937,265.4705604891099,64.0,7523.25,1.4,21143.4453125
9,1775530443.5714054,0.12050166353583336,265.55649989416304,64.0,7523.25,1.3,21143.4453125
10,1775530443.7587547,0.1203947477042675,265.7923257466632,64.0,7523.25,1.4,21143.4453125
11,1775530443.9479787,0.120677525177598,265.1695081822935,59.0,7523.25,1.3,21143.4453125
12,1775530444.1401222,0.12033544667065144,265.9233075984789,59.0,7523.25,1.4,21161.90234375
13,1775530444.3331347,0.1206497848033905,265.23047722088216,58.0,7523.25,1.3,21161.90234375
14,1775530444.529841,0.12385820969939232,258.3599430160099,59.0,7523.25,1.4,21106.76953125
15,1775530444.718988,0.12072230689227581,265.0711440475916,58.0,7523.25,1.4,21125.89453125
16,1775530444.9093952,0.12044584937393665,265.6795577957417,58.0,7523.25,1.4,21125.89453125
17,1775530445.0997982,0.12038903124630451,265.8049464201688,59.0,7523.25,1.3,21144.10546875
18,1775530445.2836545,0.12020516581833363,266.21152079571755,61.0,7523.25,1.4,21144.10546875
19,1775530445.4757757,0.1210109107196331,264.43896512885465,63.0,7523.25,1.4,21130.76953125
20,1775530445.6674187,0.12056253291666508,265.42242623683893,62.0,7523.25,1.3,21130.76953125
21,1775530445.8523514,0.12053813226521015,265.4761559569633,66.0,7523.25,1.4,21131.5078125
22,1775530446.0434334,0.1201703567057848,266.28863288095386,63.0,7523.25,1.4,21131.5078125
23,1775530446.23532,0.12075297720730305,265.0038180430442,63.0,7523.25,1.4,21131.5078125
24,1775530446.4286218,0.12079958617687225,264.9015697218222,62.0,7523.25,1.4,21131.5078125
25,1775530446.6178207,0.12037583999335766,265.8340743604843,64.0,7523.25,1.4,21131.5078125
26,1775530446.8082988,0.12051073275506496,265.53651503421855,63.0,7523.25,1.3,21131.5078125
27,1775530446.9982584,0.12059641629457474,265.34785181207394,64.0,7523.25,1.4,21131.5078125
28,1775530447.1848207,0.12048643082380295,265.59007334855977,65.0,7523.25,1.3,21131.5078125
29,1775530447.3746135,0.12055611424148083,265.43655791611,64.0,7523.25,1.4,21131.5078125
30,1775530447.5638046,0.12026581726968288,266.0772672275075,64.0,7523.25,1.4,21131.5078125
31,1775530447.756734,0.12069139629602432,265.1390321271319,61.0,7523.25,1.4,21131.5078125
32,1775530447.9490483,0.1207628957927227,264.9820525579708,59.0,7523.25,1.3,21131.5078125
33,1775530448.135911,0.12055918201804161,265.4298035566567,59.0,7523.25,1.4,21131.5078125
34,1775530448.3217773,0.12020589597523212,266.2099037687257,59.0,7523.25,1.4,21131.5078125
35,1775530448.5061767,0.12038793973624706,265.8073563689807,58.0,7523.25,1.4,21131.5078125
36,1775530448.6942682,0.12041974067687988,265.73716086854085,59.0,7523.25,1.4,21131.5078125
37,1775530448.8845708,0.12101073004305363,264.43935995274904,60.0,7523.25,1.3,21131.5078125
38,1775530449.0702238,0.12059169262647629,265.35824568876063,65.0,7523.25,1.4,21131.5078125
39,1775530449.2571316,0.12033101171255112,265.9331085526163,65.0,7523.25,1.4,21131.5078125
40,1775530449.4433513,0.12027000822126865,266.0679954484371,65.0,7523.25,1.4,21131.50390625
41,1775530449.632906,0.1206610556691885,265.20570222535673,64.0,7523.25,1.3,21131.50390625
42,1775530449.8182087,0.12032801657915115,265.93972800133844,66.0,7523.25,1.4,21131.50390625
43,1775530450.0084727,0.12092761881649494,264.6211040387665,63.0,7523.25,1.3,21131.50390625
44,1775530450.1985006,0.12037914991378784,265.82676504126755,63.0,7523.25,1.4,21131.50390625
45,1775530450.382084,0.12014144286513329,266.35271923546077,67.0,7523.25,1.4,21131.50390625
46,1775530450.5669875,0.1204260103404522,265.723325962007,65.0,7523.25,1.3,21131.50390625
47,1775530450.763189,0.12027555704116821,266.0557206070304,65.0,7523.25,1.4,21131.50390625
48,1775530450.9537487,0.12107450142502785,264.3000765922224,59.0,7523.25,1.4,21131.50390625
49,1775530451.1557124,0.12066587433218956,265.1951115184808,59.0,7523.25,1.4,21131.50390625
50,1775530451.346894,0.12050585262477398,265.5472684769946,59.0,7523.25,1.4,21131.50390625
51,1775530451.5333736,0.12058385275304317,265.375498206516,59.0,7523.25,1.4,21131.50390625
52,1775530451.727271,0.1205099131911993,265.5383208950558,59.0,7523.25,1.4,21131.50390625
53,1775530451.9144757,0.1208515577018261,264.78765030859404,59.0,7523.25,1.4,21131.50390625
54,1775530452.0999565,0.11991459131240845,266.8565989324164,59.0,7523.25,1.4,21127.56640625
55,1775530452.284217,0.12033083848655224,265.9334913848889,59.0,7523.25,1.4,21127.56640625
56,1775530452.4753077,0.12041942775249481,265.737851418556,63.0,7523.25,1.4,21127.3203125
57,1775530452.6596556,0.12031118758022785,265.9769273631452,66.0,7523.25,1.5,21127.3203125
58,1775530452.850535,0.12062554433941841,265.28377695820217,63.0,7523.25,1.4,21127.3203125
59,1775530453.0425978,0.12044241838157177,265.6871260972301,62.0,7523.25,1.4,21127.3203125
60,1775530453.227172,0.1205650120973587,265.416968350315,66.0,7523.25,1.4,21127.3203125
61,1775530453.4160528,0.12040870077908039,265.7615254790593,64.0,7523.25,1.4,21127.3203125
62,1775530453.6021292,0.12027488835155964,266.0571997910738,65.0,7523.25,1.4,21127.3203125
63,1775530453.7925673,0.12051662430167198,265.523534080236,63.0,7523.25,1.4,21127.3203125
64,1775530453.9785848,0.12021507509052753,266.1895771050554,65.0,7523.25,1.4,21127.3203125
65,1775530454.1658056,0.12053409405052662,265.48505011856594,64.0,7523.25,1.4,21127.3203125
66,1775530454.3612146,0.1204461008310318,265.6790031326236,64.0,7523.25,1.4,21127.3203125
67,1775530454.553978,0.12057889252901077,265.38641489264745,58.0,7523.25,1.4,21127.3203125
68,1775530454.7401302,0.12023080885410309,266.1547427401171,59.0,7523.25,1.4,21127.3203125
69,1775530454.9253657,0.12049628049135208,265.56836335123734,58.0,7523.25,1.4,21127.3203125
70,1775530455.111652,0.12051754258573055,265.52151092225176,59.0,7523.25,1.4,21127.3203125
71,1775530455.3020043,0.12032129056751728,265.9545941459418,59.0,7523.25,1.4,21127.3203125
72,1775530455.4933794,0.1205956619232893,265.34951166282536,58.0,7523.25,1.4,21127.3125
73,1775530455.6835914,0.1207597367465496,264.9889844258402,59.0,7523.25,1.3,21127.3125
