step,wall_timestamp,phase,duration_sec,gpu_mem_mb
0,1775421611.0100603,forward,0.18059072457253933,5677.294921875
0,1775421611.13529,backward,0.12499462440609932,508.64990234375
0,1775421611.1473484,optimizer,0.011736961081624031,508.64990234375
1,1775421611.2831204,forward,0.035991204902529716,5685.23291015625
1,1775421611.363965,backward,0.08069191686809063,507.650390625
1,1775421611.366634,optimizer,0.0022259075194597244,507.650390625
2,1775421611.472896,forward,0.035917894914746284,5685.23291015625
2,1775421611.5540638,backward,0.08100425451993942,507.650390625
2,1775421611.556692,optimizer,0.0022261086851358414,507.650390625
3,1775421611.6627736,forward,0.03631893917918205,5685.23291015625
3,1775421611.7435892,backward,0.08065823838114738,507.650390625
3,1775421611.746261,optimizer,0.002218388020992279,507.650390625
4,1775421611.8574839,forward,0.03590993210673332,5685.23291015625
4,1775421611.9383616,backward,0.08071660809218884,507.650390625
4,1775421611.941049,optimizer,0.002208895981311798,507.650390625
5,1775421612.0427582,forward,0.035868432372808456,5685.23291015625
5,1775421612.12357,backward,0.08064949885010719,507.650390625
5,1775421612.1262555,optimizer,0.002205127850174904,507.650390625
6,1775421612.2337794,forward,0.03587864153087139,5685.23291015625
6,1775421612.3149004,backward,0.08095425181090832,507.650390625
6,1775421612.317582,optimizer,0.002211727201938629,507.650390625
7,1775421612.4318829,forward,0.036210907623171806,5685.23291015625
7,1775421612.5130985,backward,0.08106557093560696,507.650390625
7,1775421612.5158207,optimizer,0.0022419560700654984,507.650390625
8,1775421612.6209955,forward,0.0358840748667717,5685.23291015625
8,1775421612.7018032,backward,0.08065704815089703,507.650390625
8,1775421612.7044919,optimizer,0.0022040754556655884,507.650390625
9,1775421612.8145304,forward,0.03587642312049866,5685.23291015625
9,1775421612.8955905,backward,0.08091023191809654,507.650390625
9,1775421612.8982725,optimizer,0.002214347943663597,507.650390625
10,1775421613.001476,forward,0.03606593608856201,5685.23291015625
10,1775421613.0823414,backward,0.0806631576269865,507.650390625
10,1775421613.085124,optimizer,0.0023073796182870865,507.650390625
11,1775421613.18572,forward,0.03587903454899788,5685.23291015625
11,1775421613.2667947,backward,0.08089538291096687,507.650390625
11,1775421613.269489,optimizer,0.00221346877515316,507.650390625
12,1775421613.3735633,forward,0.03587235510349274,5685.23291015625
12,1775421613.4546778,backward,0.08095456101000309,507.650390625
12,1775421613.4573534,optimizer,0.0022081080824136734,507.650390625
13,1775421613.5657544,forward,0.03590570203959942,5685.23291015625
13,1775421613.6468368,backward,0.08091812953352928,507.650390625
13,1775421613.6496842,optimizer,0.0023029372096061707,507.650390625
14,1775421613.7596896,forward,0.03593560308218002,5685.23291015625
14,1775421613.840484,backward,0.08063258603215218,507.650390625
14,1775421613.843227,optimizer,0.002261616289615631,507.650390625
15,1775421613.9457254,forward,0.035880863666534424,5685.23291015625
15,1775421614.0267487,backward,0.08086537942290306,507.650390625
15,1775421614.029424,optimizer,0.0022072065621614456,507.650390625
