step,wall_timestamp,phase,duration_sec,gpu_mem_mb
0,1774674109.297594,forward,0.39903548918664455,21933.97412109375
0,1774674109.8133683,backward,0.5154456235468388,554.212890625
0,1774674109.8252451,optimizer,0.011501675471663475,554.212890625
1,1774674110.023702,forward,0.19369601272046566,21945.849609375
1,1774674110.425949,backward,0.40201607905328274,555.96337890625
1,1774674110.428661,optimizer,0.0022543370723724365,555.96337890625
2,1774674110.6274376,forward,0.19357655756175518,21945.849609375
2,1774674111.0294597,backward,0.40179058350622654,555.96337890625
2,1774674111.0321956,optimizer,0.002203388139605522,555.96337890625
3,1774674111.2307582,forward,0.19355906918644905,21945.849609375
3,1774674111.6324756,backward,0.40139471739530563,555.96337890625
3,1774674111.635337,optimizer,0.002352070063352585,555.96337890625
4,1774674111.834102,forward,0.19390865229070187,21945.849609375
4,1774674112.236298,backward,0.40192815475165844,555.96337890625
4,1774674112.2391047,optimizer,0.002280278131365776,555.96337890625
5,1774674112.4375496,forward,0.1937335506081581,21945.849609375
5,1774674112.8393648,backward,0.4016066137701273,555.96337890625
5,1774674112.8427668,optimizer,0.002730637788772583,555.96337890625
6,1774674113.0415015,forward,0.19376400113105774,21945.849609375
6,1774674113.443617,backward,0.4018811881542206,555.96337890625
6,1774674113.4463494,optimizer,0.0022078286856412888,555.96337890625
7,1774674113.6447377,forward,0.19369529001414776,21945.849609375
7,1774674114.0472848,backward,0.4023238942027092,555.96337890625
7,1774674114.0500154,optimizer,0.0022140685468912125,555.96337890625
8,1774674114.2486403,forward,0.19363783858716488,21945.849609375
8,1774674114.6505446,backward,0.4017003960907459,555.96337890625
8,1774674114.653546,optimizer,0.002289850264787674,555.96337890625
9,1774674114.8520715,forward,0.19377064518630505,21945.849609375
9,1774674115.2541568,backward,0.40188138745725155,555.96337890625
9,1774674115.2570481,optimizer,0.002318708226084709,555.96337890625
10,1774674115.4556227,forward,0.19374221935868263,21945.849609375
10,1774674115.8576312,backward,0.40180180594325066,555.96337890625
10,1774674115.860361,optimizer,0.0022208187729120255,555.96337890625
11,1774674116.0589616,forward,0.19355857744812965,21945.849609375
11,1774674116.4611855,backward,0.4020206406712532,555.96337890625
11,1774674116.4639857,optimizer,0.0022477786988019943,555.96337890625
12,1774674116.6626544,forward,0.19374871253967285,21945.849609375
12,1774674117.064651,backward,0.40178738348186016,555.96337890625
12,1774674117.06736,optimizer,0.0022039562463760376,555.96337890625
13,1774674117.2701275,forward,0.1937351282685995,21945.849609375
13,1774674117.6726344,backward,0.40221286192536354,555.96337890625
13,1774674117.6754453,optimizer,0.0023049581795930862,555.96337890625
14,1774674117.8739145,forward,0.19374517165124416,21945.849609375
14,1774674118.2759755,backward,0.4018568564206362,555.96337890625
14,1774674118.2787278,optimizer,0.00223434716463089,555.96337890625
15,1774674118.4771645,forward,0.19371896050870419,21945.849609375
15,1774674118.8791707,backward,0.40179671719670296,555.96337890625
15,1774674118.8818674,optimizer,0.0022016167640686035,555.96337890625
16,1774674119.0802605,forward,0.19367467984557152,21945.849609375
16,1774674119.4822018,backward,0.40173543617129326,555.96337890625
16,1774674119.485157,optimizer,0.0022581797093153,555.96337890625
17,1774674119.6838124,forward,0.19385652244091034,21945.849609375
17,1774674120.0854402,backward,0.40142345055937767,555.96337890625
17,1774674120.0881863,optimizer,0.0022350475192070007,555.96337890625
18,1774674120.287009,forward,0.19374571181833744,21945.849609375
18,1774674120.6889896,backward,0.4017660468816757,555.96337890625
18,1774674120.6919756,optimizer,0.0023641008883714676,555.96337890625
19,1774674120.8906152,forward,0.19376764260232449,21945.849609375
19,1774674121.2922657,backward,0.40144910104572773,555.96337890625
19,1774674121.2949893,optimizer,0.002230137586593628,555.96337890625
20,1774674121.4934068,forward,0.19374254904687405,21945.849609375
20,1774674121.8952866,backward,0.4016629420220852,555.96337890625
20,1774674121.8981428,optimizer,0.0022853482514619827,555.96337890625
21,1774674122.0968995,forward,0.19381755217909813,21945.849609375
21,1774674122.498813,backward,0.4017091952264309,555.96337890625
21,1774674122.5015156,optimizer,0.0022020265460014343,555.96337890625
22,1774674122.700074,forward,0.19375157169997692,21945.849609375
22,1774674123.101915,backward,0.4016332533210516,555.96337890625
22,1774674123.1052928,optimizer,0.002736976370215416,555.96337890625
23,1774674123.304457,forward,0.1938353031873703,21945.849609375
23,1774674123.7064238,backward,0.40176436491310596,555.96337890625
23,1774674123.7091393,optimizer,0.0022068973630666733,555.96337890625
24,1774674123.9079838,forward,0.1937218401581049,21945.849609375
24,1774674124.3098896,backward,0.4017043635249138,555.96337890625
24,1774674124.3125973,optimizer,0.0022078584879636765,555.96337890625
25,1774674124.5111175,forward,0.1938507929444313,21945.849609375
25,1774674124.9131508,backward,0.40180799551308155,555.96337890625
25,1774674124.915861,optimizer,0.0021988581866025925,555.96337890625
26,1774674125.1143475,forward,0.19377221167087555,21945.849609375
26,1774674125.5161982,backward,0.4016469530761242,555.96337890625
26,1774674125.5189266,optimizer,0.0022261198610067368,555.96337890625
27,1774674125.7174904,forward,0.1937897726893425,21945.849609375
27,1774674126.119407,backward,0.4017080832272768,555.96337890625
27,1774674126.1223764,optimizer,0.002263670787215233,555.96337890625
28,1774674126.3209672,forward,0.19387950375676155,21945.849609375
28,1774674126.7229176,backward,0.40174804627895355,555.96337890625
28,1774674126.725628,optimizer,0.0022038985043764114,555.96337890625
29,1774674126.9242082,forward,0.19361240975558758,21945.849609375
29,1774674127.3258183,backward,0.4014114085584879,555.96337890625
29,1774674127.328747,optimizer,0.0023310277611017227,555.96337890625
30,1774674127.5277977,forward,0.19378916919231415,21945.849609375
30,1774674127.9296098,backward,0.4016137644648552,555.96337890625
30,1774674127.9323018,optimizer,0.0021868180483579636,555.96337890625
31,1774674128.1307359,forward,0.19376358948647976,21945.849609375
31,1774674128.5326316,backward,0.4016938228160143,555.96337890625
31,1774674128.53533,optimizer,0.002201758325099945,555.96337890625
32,1774674128.7338908,forward,0.1938607506453991,21945.849609375
32,1774674129.1359956,backward,0.4018434677273035,555.96337890625
32,1774674129.1387358,optimizer,0.002245938405394554,555.96337890625
33,1774674129.3374667,forward,0.193887984380126,21945.849609375
33,1774674129.7394543,backward,0.40177297592163086,555.96337890625
33,1774674129.7421591,optimizer,0.0022056475281715393,555.96337890625
34,1774674129.9406722,forward,0.19363731890916824,21945.849609375
34,1774674130.3426116,backward,0.4017390049993992,555.96337890625
34,1774674130.3453267,optimizer,0.0022100284695625305,555.96337890625
35,1774674130.544268,forward,0.19377004355192184,21945.849609375
35,1774674130.9459321,backward,0.40146329067647457,555.96337890625
35,1774674130.9492645,optimizer,0.0027103088796138763,555.96337890625
36,1774674131.1479657,forward,0.19385522417724133,21945.849609375
36,1774674131.5501144,backward,0.40194686874747276,555.96337890625
36,1774674131.5528271,optimizer,0.002207007259130478,555.96337890625
37,1774674131.7513103,forward,0.19382253102958202,21945.849609375
37,1774674132.1531878,backward,0.4016809444874525,555.96337890625
37,1774674132.1559026,optimizer,0.002207275480031967,555.96337890625
38,1774674132.3543968,forward,0.1938293520361185,21945.849609375
38,1774674132.7561166,backward,0.4015137813985348,555.96337890625
38,1774674132.7592854,optimizer,0.0023388992995023727,555.96337890625
39,1774674132.9578524,forward,0.1938568837940693,21945.849609375
39,1774674133.3598735,backward,0.4018191359937191,555.96337890625
39,1774674133.362572,optimizer,0.0021994486451148987,555.96337890625
40,1774674133.561376,forward,0.19387128204107285,21945.849609375
40,1774674133.963609,backward,0.40201352909207344,555.96337890625
40,1774674133.9663143,optimizer,0.002198578789830208,555.96337890625
41,1774674134.165155,forward,0.19380777142941952,21945.849609375
41,1774674134.5669808,backward,0.40161850303411484,555.96337890625
41,1774674134.5699682,optimizer,0.002271769568324089,555.96337890625
42,1774674134.7686777,forward,0.19397530518472195,21945.849609375
42,1774674135.1708562,backward,0.40197221003472805,555.96337890625
42,1774674135.1735559,optimizer,0.0022044777870178223,555.96337890625
43,1774674135.3720493,forward,0.19380590505898,21945.849609375
43,1774674135.7736516,backward,0.4013994690030813,555.96337890625
43,1774674135.7763557,optimizer,0.0022016875445842743,555.96337890625
44,1774674135.9748206,forward,0.19376438111066818,21945.849609375
44,1774674136.3767412,backward,0.4017169661819935,555.96337890625
44,1774674136.3797345,optimizer,0.002375829964876175,555.96337890625
45,1774674136.5785606,forward,0.1939532831311226,21945.849609375
45,1774674136.9806418,backward,0.4018655754625797,555.96337890625
45,1774674136.9833724,optimizer,0.0022180676460266113,555.96337890625
46,1774674137.1823301,forward,0.19378745183348656,21945.849609375
46,1774674137.5843902,backward,0.40185997635126114,555.96337890625
46,1774674137.5871027,optimizer,0.002200707793235779,555.96337890625
47,1774674137.7856212,forward,0.19383923150599003,21945.849609375
47,1774674138.1879175,backward,0.40208765119314194,555.96337890625
47,1774674138.190771,optimizer,0.002281947061419487,555.96337890625
48,1774674138.3896298,forward,0.19390507601201534,21945.849609375
48,1774674138.7915115,backward,0.40167419239878654,555.96337890625
48,1774674138.7942224,optimizer,0.0022050291299819946,555.96337890625
49,1774674138.9928405,forward,0.19384066201746464,21945.849609375
49,1774674139.3948321,backward,0.40179186686873436,555.96337890625
49,1774674139.3975394,optimizer,0.0021984390914440155,555.96337890625
50,1774674139.5960805,forward,0.19387204200029373,21945.849609375
50,1774674139.9981632,backward,0.4018842186778784,555.96337890625
50,1774674140.0008597,optimizer,0.002203017473220825,555.96337890625
51,1774674140.1998634,forward,0.19381551072001457,21945.849609375
51,1774674140.6018567,backward,0.40179478377103806,555.96337890625
51,1774674140.6052501,optimizer,0.0027372483164072037,555.96337890625
52,1774674140.8042054,forward,0.1939024943858385,21945.849609375
52,1774674141.2060606,backward,0.4016454238444567,555.96337890625
52,1774674141.2087672,optimizer,0.002209128811955452,555.96337890625
53,1774674141.407319,forward,0.19385681487619877,21945.849609375
53,1774674141.8094282,backward,0.4019087292253971,555.96337890625
53,1774674141.812143,optimizer,0.0021966081112623215,555.96337890625
54,1774674142.0106964,forward,0.1938712429255247,21945.849609375
54,1774674142.4127758,backward,0.40187253803014755,555.96337890625
54,1774674142.4154992,optimizer,0.0022162683308124542,555.96337890625
55,1774674142.6139438,forward,0.19380438327789307,21945.849609375
55,1774674143.0160363,backward,0.4018908478319645,555.96337890625
55,1774674143.01923,optimizer,0.002377040684223175,555.96337890625
